Caption,Likes,Views,Comments,Shares,Post Type,Creator
"“Mama I made it to Forbes!” ♥️🥹

Made my mom proud today. Nothing else matters. 

True, raw emotions caught on camera thanks to my profession of vlogging. 

I do have some learnings to share :
- Manifestation & visualisation is cool. But don’t let it take over your mind. 

- I manifested this. But every year that it didn’t happen, made me want to go even harder in the paint! More ferocity. More work. More sacrifices.

- After this clip got recorded, I broke down. Out of happiness and gratitude. But also out of pity for the younger version of me.

- I never celebrated small wins in the chase for one of these type of goals. Today all that will change. 

- If you’re young and ambitious, know that you can never condtrol thde results. You can only control your honesty & integrity in your profession.

- Just do your work to the best of your abilities. And don’t be harsh on yourself if you don’t get to where you wish to be. Try harder the next time but also enjoy each day of your career.

- From today onwards, believe it or not, things have changed. I feel relieved. I feel grateful. I feel free. Only 1 goal left. Without a timeline on it - Build a unicorn.

- The unicorn will be built. But I’m sure as heck going to ENJOY the process. Without a sense of, LETS GET THERE RIGHT NOW. 

- As long as I give it my all, I know God has my back. 

Karmanyava Dhikaraste Maa Phaleshu Kadachana - Only be attached to your sense of hard work. Not to the results that the hard work will bring.

If your parents are proud of you, that’s the biggest achievement.",370938,1895774,3640,1895774,Reel,beerbiceps
"Arjuna : 

1. When you're focusing on the goal, may your eyes trail nowhere else. 

2. Despite immense success & ability, kneel in front of God. 

3. Understand that your success or failure contains many factors that are beyond your control. Be humble and give every day your best.

4. When choosing between ""infinite power of any kind"" & God, choose God. 

5. Lead from the front, lead by example. 

6. Challenge yourself to be incrementally better every day.

7. Be ready to die for your family.

8. Be abled enough to protect them at all costs.

9. Chase excellence so hard, that your effort becomes your greatest legacy.

10. Be the reason that your side wins any war, even when the odds are stacked against you. Believe in yourself.

Karmanyava Dhikaraste Ma Phaleshu Kadachana : Your results are never in your hand, only your efforts are.

Edit : @akshattiiwari 

#nationalcreatorsaward #arjuna #mahabharat #beerbiceps #motivation",2305430,13891302,11748,13891302,Reel,beerbiceps
"When we began @theranveershowpodcast, the intention was to celebrate the heroes of our great country.

In my opinion, no other entity in India should be celebrated as much as @isro.dos.

They're Indian heroes. Making our country proud on a WORLD STAGE!

Lots has been spoken about in this conversation: Aliens, Space tourism, asteroid mining, Indian astronauts... the list is LONG. 

Even some special messages for Elon Musk & Mukesh Ambani!

This is a must watch #theranveershow episode with @isro_chairman. Huge day, hugest podcast 🚀🚀🚀

Edit : @akshattiiwari 

#NationalSpaceDay #isro #podcast",1148417,6923197,1877,6923197,Reel,beerbiceps
"This one’s for my 17-year-old self.

To the kid who had dreams so big, no one thought they were possible.

Dreams so big, they kept him up all night, buzzing with excitement.

Dreams so big, people laughed.

Dreams so big, only my parents truly believed in me.

But here’s the thing about dreams.

If your dreams don’t scare you, then you’re not dreaming big enough.

As someone who’s been a huge fan of Ranveer since 2017, this will always be a core memory for me.

Thank you @beerbiceps for the incredible conversation. It was amazing discussing mindset, spirituality and health with you.

Next time we meet, it’ll be on my turf.

A hardcore Ranveer x Saket training session. 

Deal?",456269,,2212,,Carousel,beerbiceps
"Learnt how to work hard from this man & his team, @manchesterunited.

Thank you for everything @rioferdy5. The next one will be in India 🙏🏻♥️",968412,6189002,2581,6189002,Reel,beerbiceps
"Been a life long Man Utd fan. This is one of the most beautiful days of my career...

Man Utd legend @rioferdy5 appears on @theranveershowpodcast.

So much love for him as a player. 
Even more love for him as a human being now that I got to know him.

India loves Rio Ferdinand. Catch the episode on our YouTube channel, now!

#football #manutd #englishpremierleague

Outfit : @govindamehtaa @thehouseofgovinda",100272,,390,,Carousel,beerbiceps
"just a chill guy wishing you a chill 2025. 

smile more this year ❤️‍🩹",173297,,290,,Carousel,beerbiceps
"Dear soul reading this, 
According to numerology, 2024 has been a year governed by Saturn. 

Saturn tests two aspects of your existence : 
1. Your ability to work hard through storms.
2. Your ability to stay humble through glory.

Saturn is a task master. Saturn is an examiner.

It's not been an easy year for me either. I have put my head down and worked through it all.

Some times, while my head was down and working... my eyes teared up with the pressure of being an adult. 

Some times while my head was down and working... God gave me moments to smile & breathe.

It's been a year that's tested me to my last degree of resistance.

It's a year that's taught me : Faith and belief can overcome the false storms of what we call ""suffering""

My knee injury was a gift as much as my national award was.

My poor mental health was a gift as much as public adulation was.

Life's purpose is to grow. Often through the dungeons of suffering as much as through the dungeons of success.

Get even healthier this year.
Meditate deeply this year.
Pursue peace this year.

But whatever you do, believe that God is with you through every step.

Happy 2025, have a blessed one!

2025 - Year of ""Mars""

Pour your intensity into the speed and strength of your work.
Now overcome your own demons.
Now grow more easily. 

#spirituality #theranveershow #God",251436,1226204,1317,1226204,Reel,beerbiceps
"Merry Christmas to you all, from Goa. It's been the most eventful Christmas of my life. 

Gonna be very vulnerable in this write up.

We're perfectly fine & well now. But yesterday at 6:00 pm or so, my girlfriend and I had to be rescued from a bit of a situation.

We both love swimming in the open ocean. I've been doing this since I was a kid. 

But yesterday we got swept away by an underwater current. 
This has happened to me before but I've never been alongside a companion.

It's easy to swim out of one alone. It's very hard to pull someone out with you.

After a 5-10 minute struggle, we called for help and were promptly rescued by a family of 5 swimming nearby.

We're both good swimmers but the fury of nature is such that it WILL test your limits at some point.

A casual, fun dip in the waves was interrupted by an underwater current that toppled both of us. The next thing we knew was that we were both struggling to stay afloat.

There was a point during the ordeal where I swallowed a lot of water and started fading away a little bit. That's when I decided to shout for help.

Deep gratitude to the family of the IPS officer husband and IRS officer wife who saved us both.

This experience left us feeling both blank as well as grateful. We felt the protection of God throughout the incident.

As we moved into today's Christmas, we're simply full of gratitude for being alive.

Almost feel like this one life experience has changed my perspective towards living.

Writing this because I've always shared these moments with you all. Full of emotion and gratitude today. A deep thank you and big hugs to each one of you reading this!

Last evening, I decided to call my brother @brother.salvador to convey the Christmas Eve incident. He performed a prayer for us where we thanked Lord Jesus Christ as well as the God above us. 

This has been a very very memorable Goa holiday for me. From discovering secret Murtis at @aliladiwagoa to touching the life-death barrier.

I guess 2025 is going to be more blessed than ever.

We lived for a reason!

Merry Christmas to you all and to your families. Thank you God, for life! 🙏🏻🙏🏻🙏🏻🙏🏻♥️",416102,,2218,,Carousel,beerbiceps
"Dubai dump...

2024 has been painted by challenges & tests from God.

Weirdly it's also been the best career year yet.

This trip marks the end of a very difficult, but rewarding chapter.

At the start of this year, I'd aimed to travel abroad twice for the sake of @theranveershowpodcast.

This was our 3rd podcasting trip of the year. 2024 has been better than we aimed for.

There's only a few days in the whole year when I allow myself to ACTUALLY, TRULY, FULLY feel proud of myself.

Today is that day.

On most other days, even on the fanciest, most flashy days... there's a part of me looking down on my own achievements.

Nothing seems to be enough. Nothing gives me true happiness. No awards, no career highlights, NOTHING.

I am wired to not celebrate. Because I know how much failing has hurt past versions of me.

The less you celebrate success, the less that failure stings when it inevitably happens.

I don't think that this is a healthy mentality for the long term.
But right now, this mindset helps tremendously.

Every year I compete with only one person. 
Me from the previous year.

Fortunately, I've won for 9 years straight. 

Perhaps this year we win the battle of ""work-life-balance"" as well.

Life shouldn't be all about work. 
Intense years should be embraced.
Breezy years should be embraced.

Now we enter our 10th year.

I'm prepared to win & not celebrate again throughout 2025.

But today, we celebrate fully.

Today is a good day because my 2024 shoot schedule comes to an end.

2024 year end :

The goals that once seemed like dreams, have now become possible.

Thank you to my beautiful team @teambeerbiceps.

Thank you to my 🌻

And thank you to God.

Singapore, UK & Dubai done. A lot, lot, LOT more to come. 

2025 is about truly going global 🚀🇮🇳

And perhaps taking more care of my heart as well. 

Aum Namah Shivaay 🔱🙏🏻

---
 
Set design partners : @alhuzaifauae @alhuzaifadesignstudio 
Shoot team : @neetbherwani, @mouniralserawan & team.
Director : @akshattiiwari 

Watch out for more from @theranveershowpodcast.",348662,,688,,Carousel,beerbiceps
"It's been an iconic weekend. Can't believe God's grace at this point! 

2024 was the test.

2025 is going to be special.

Varun, AP, Kriti, Yuval. Love you guys! Can't wait to release these. All shot in 3 days! 

@teambeerbiceps power for @theranveershowpodcast 

Aum Bhairavaya Namaha 🔱🏹♥️

#TheRanveerShow",701763,,614,,Carousel,beerbiceps
"10 year journey explained in a 1 minute reel.

Only lesson : Occasionally, say no to some desires 🏹

#Ranveer",327596,1833474,1341,1833474,Reel,beerbiceps
"#1 on Spotify because of the @beerbiceps community 👑

Thank you for all the love & support. 

Onto bigger championship belts 🏹

Here's to you all. Big love & big hugs 🤗♥️

Thanks for the support shown to the entire INDIAN PODCASTING SPACE, @spotifyindia!",51787,445750,445,445750,Reel,beerbiceps
November photo dump of what could very well be the greatest November of my life.,325698,,611,,Carousel,beerbiceps
"Ending the iconic #TRSUKTour with one of my childhood's icons : @rioferdy5 ⚽️🇬🇧

11 podcasts shot in 11 days. TRS has gone global 🌍

Can't wait to release these episodes, but here's a summary of everything that's coming your way :

1. Rio : Inside the mind of a football legend. What it takes to be WORLD CLASS.

2. Momin (@mominsaqib) : India-Pakistan love podcast.

3. Dr.Alan Badeley : Psychology.

4. Trevor Rooney : Ghost special from York.

5. Arun (@mrwhosetheboss) : Brotherly, relaxed catch up. (+youtubing)

6. Dr.Jo Clarke : Crime Psychology.

7. Imran Hussein (@imranhussein87) : Jinn & Lessons From The Quran.

8. Peter Grey : Occult & Ancient English Spirituality (2 earth shattering episodes)

9. Aarthi & Sriram (@aarthir & @sriramk) : Deep career guidance for Indians looking to set up bases abroad.

10. Ilkay. Gundogan. (@ilkayguendogan) : Our series opener. Watch it yourself to know :)

Thank you to YOU ALL for your support. Took the YouTube channel from my bedroom till Britain through your love & support. Onto even bigger goals!

@theranveershowpodcast is only just getting started.

#TheRanveerShow",175372,,735,,Carousel,beerbiceps
"Big announcement for #TheRanveerShow 🏹

---

Big ups to my team @teambeerbiceps for getting us here.

Shoutout to @anikjaindesign & team (@dzinr.in) for the great work on the logo.

Onto even bigger things.",103559,,1108,,Carousel,beerbiceps
Sending you warmth from freezing London 🧊,244436,,415,,Carousel,beerbiceps
